                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.79452,                0.51154,                 1.0621,                0.92337,                0.94603,                0.95587,                0.76865,                0.79768,                0.43571,                 1.1347,             0.00081688,             0.00081688,             0.00081688
                     37,                0.78837,                0.50588,                 1.0617,                0.93625,                0.93637,                 0.9589,                0.77496,                0.77538,                0.43162,                 1.1329,              0.0008045,              0.0008045,              0.0008045
                     38,                0.78749,                0.49761,                 1.0656,                0.93289,                0.95043,                0.96301,                0.77723,                0.78212,                0.43825,                 1.1209,             0.00079213,             0.00079213,             0.00079213
                     39,                  0.767,                0.48581,                 1.0564,                 0.9581,                0.90223,                0.95978,                0.77761,                 0.7703,                0.43047,                 1.1114,             0.00077975,             0.00077975,             0.00077975
                     40,                0.76604,                  0.492,                 1.0553,                0.94542,                0.93018,                0.96467,                0.77723,                0.77611,                 0.4203,                 1.1206,             0.00076738,             0.00076738,             0.00076738
                     41,                0.77987,                0.49478,                 1.0576,                0.94523,                 0.9195,                0.95324,                0.77188,                0.77295,                0.44158,                 1.1149,               0.000755,               0.000755,               0.000755
                     42,                0.77226,                0.48567,                 1.0603,                0.95135,                0.92668,                0.95854,                0.77863,                0.77463,                0.41302,                 1.1143,             0.00074263,             0.00074263,             0.00074263
                     43,                 0.7596,                0.47543,                 1.0495,                0.94837,                0.94083,                0.96307,                0.77764,                0.75554,                0.40993,                 1.1146,             0.00073025,             0.00073025,             0.00073025
                     44,                0.74374,                0.47023,                 1.0467,                0.94749,                0.93258,                0.95896,                0.78064,                0.76829,                0.41245,                 1.1115,             0.00071788,             0.00071788,             0.00071788
                     45,                 0.7588,                0.47224,                 1.0463,                0.92856,                0.94914,                0.96131,                0.77565,                0.76472,                0.41518,                 1.1279,              0.0007055,              0.0007055,              0.0007055
                     46,                0.75361,                0.46671,                 1.0512,                0.95322,                0.92598,                0.96115,                0.77867,                 0.7528,                0.41493,                 1.0998,             0.00069313,             0.00069313,             0.00069313
